,Designnummer,Anzahl,,,von Käfer,Lego bestellt,,,
,32291,9,,,,,,,
,32316,24,,,,,,,
,32324,4,,,,,,,
,32348,6,,,,,,,
,32449,18,,,,,,,
,32523,46,,,5,,,2,
,32524,16,,,,,,,
,32525,19,wie 64290,,,13,,1,
,32526,12,,,,,,,
,32530,26,,,,,,,
,32531,10,,,,,,,
,32532,8,,,,,,,
,32555,19,wie 28973,,,,,,
,32556,20,,,7,,,,
,32557,8,,,,,,,
,32803,2,,,,2,,,
,32807,63,wie 6091,,,,,8,
,32828,4,,,,,,,
,33243,8,16,,,8,8,,
,33299,4,wie 61408,,,,,,
,33303,22,,,,,,,
,33909,23,,,,22,,,
,34103,8,,,,4,,4,
,34446,2,wie 50990,,,,,,
,35186,3,,,,3,,,
,35480,24,,,,24,,,
,35787,1,,,,1,,,
,36840,4,,,,4,,,
,36841,4,,,,4,,,
,37352,14,,,,8,,8,
,39790,2,,,,2,,,
,39794,5,,,,,,5,
,40490,15,wie 64289,,,,,1,
,40620,1,wie 14682 und 65571,,,,,,
,41239,8,,,,,,,
,41532,4,wie 57697,,1,,,,
,41539,9,,,,,,,
,41677,16,,,,,,,
,41678,17,wie 69819,,,,,2,
,41682,8,,,,8,,,
,41740,35,wie 92593,,,,,,
,41747,2,,,,,,,
,41748,2,,,,,,,
,41749,1,,,,,,,
,41750,1,,,,,,,
,41767,4,,,,,,,
,41768,4,,,,,,,
,41769,56,,,13,,,,
,41770,44,,,1,,,,
,41854,2,,,,,,,
,41862,6,,,,,,,
,42003,22,,,,,,,
,42021,1,,,,,,,
,42023,16,,,,,,,
,42060,2,,,,,,,
,42061,2,,,,,,,
,42135,25,wie 32039,,1,,,,
,42445,3,wie 99784,,,,,,
,42446,14,wie 28974,,,,,,
,42610,13,,,1,,,,
,42798,70,wie 3713,,12,,,,
,42924,120,"wie 6558, ähnlich zu 32556",,16,,,2,
,43045,4,wie 98286,,,,,,
,43093,130,ähnlich zu 3749 und 6562,,20,,,10,
,43337,18,wie 15207,,,,,,
,43710,4,,,,,,,
,43711,4,,,,,,,
,43712,1,,,,,,,
,43713,5,,,,,,,
,43719,7,,,,,,,
,43720,5,,,,,,,
,43721,5,,,,,,,
,43722,48,,,,,,,
,43723,53,,,,,,,
,43857,10,,,,,,4,
,43898,10,,,,,,6,
,44126,5,,,,,,,
,44237,30,wie 2456,,1,,,8,
,44294,8,,,3,,,,
,44300,2,,,,,,,
,44301,19,,,6,,,,
,44302,17,wie 54657,,9,,,2,
,44359,2,,,,,2,,
,44374,2,,,,,,,
,44375,1,wie 45729,,,,,,
,44567,24,,,,,,,
,44568,8,,,,,,,
,44570,10,wie 50337,,,,,,
,44728,59,wie 21712 und 92411,,3,,,,
,44809,2,,,,,,1,
,44822,1,wie 95120,,,,,,
,44861,22,wie 92280,,,,,,
,44865,19,wie 2458,,,,,,4
,44874,3,wie 87082,,,,,,
,45301,3,,,,,,,
,45590,7,,,,,,,
,45677,5,,,,,,,
,45729,1,wie 44375,,,,,,
,46189,13,wie 15461,,11,,,,
,47397,13,,,,,,,
,47398,13,,,,,,,
,47456,3,,,,,,,
,47457,6,,,,,,,
,47753,1,,,,,,,
,47905,71,,,,,,,
,48092,40,,,,,,,
,48336,53,,,4,,,,
,48723,2,wie 68888,,,,,,
,48729,13,,,,,,4,
,48933,6,,,,,,,
,48989,13,wie 65489,,6,,,,
,49311,1,,,,1,,,
,49668,44,,,,,,14,
,50304,11,,,,,,,
,50305,12,,,,,,,
,50337,10,wie 44570,,,,,,
,50340,19,wie 60471,,1,,,,
,50450,1,,,,,,1,
,50745,10,,,,,,,
,50950,67,,,4,,17,12,
,50956,1,,,,,,,
,50967,2,,,,,,,
,50990,2,wie 34446,,,,,,
,51266,6,,,,,,,
,51739,11,,,,,,,
,52107,22,,,,,2,,
,52501,6,,,,,,,
,53586,4,,,,2,,2,
,53914,4,wie 30388,,,,,,
,54200,1026,,,78,,,38,
,54383,42,,,,,,,
,54384,42,,,,,,,
,54657,15,wie 44302,,9,,,,
,54661,2,wie 30387,,,,,,
,54662,14,wie 30554,,,,,,
,54671,34,wie 30365,,,,,,
,55013,10,,,4,,,,
,55982,1,,,,,,,
,57360,23,wie 30553,,1,,,,
,57519,2,,,,,,,
,57697,4,wie 41532,,1,,,,
,59349,3,,,,,,,
,59426,6,wie 32209,,,,,,
,59443,23,,,,,,,
,59900,138,wie 4589,,24,,,,
,60032,2,wie 2377,,,,,,
,60208,8,,,,,,,
,60219,1,,,,,,,
,60470,43,,,,,,,
,60471,19,wie 50340,,1,,,,
,60474,48,,,,,,4,
,60475,15,,,,,,,
,60476,10,,,,,,4,
,60477,6,,,,,,,
,60478,73,,,2,,,,
,60479,13,,,,,3,,
,60481,17,,,,,,1,
,60483,15,wie 74695,,,,,,
,60484,6,,,,,2,,
,60485,2,,,,,,,
,60581,5,,,,,,,
,60592,48,,,,,,,
,60593,28,,,,,,,
,60598,16,wie 4132,,,,,,
,60677,6,wie 75c20,,,,,,
,60849,26,,,,,,,
,60897,86,wie 4085,,11,,,,
,61184,40,,,,,,,
,61252,43,wie 6019,,7,,,16,
,61332,408,"wie 2780 und 4459, ähnlich zu 3673",,128,,,21,27
,61345,18,wie 4863,,,,,,
,61408,4,wie 33299,,,,,,
,61409,114,,,,,,,
,61485,5,,,,,2,,
,61903,3,,,,,,,
,62462,44,wie 29219,,,,,,
,63864,62,,,,,,7,
,63868,95,,,,,,,
,63869,1,,,,,,,
,63965,35,wie 18274,,,,,,
,64179,3,,,,,,1,
,64289,15,wie 40490,,,,,1,
,64290,19,wie 32525,,,13,,1,
,64567,41,in Kiste,,,,4,1,
,64644,14,,,,,,,
,64799,3,,,,1,1,1,
,64871,10,wie 32278,,,1,4,2,
,65098,3,wie 32138,,,,,,
,65304,104,wie 32054,,67,,,,
,65487,26,wie 15100,,,20,,6,
,65489,13,wie 48989,,6,,,,
,65571,1,wie 14682 und 40620,,,,,,
,66906,14,wie 6628,,,,,,
,67687,3,wie 4600,,,,,,
,67688,5,wie 4488,,,,,,
,68325,2,,,,2,,,
,68888,2,wie 48723,,,,,,
,69729,10,,,,10,,,
,69819,17,wie 41678,,,,,2,
,72132,2,wie 87609,,,,,1,
,72454,10,,,,,,,
,73194,2,,,,,,,
,73562,5,wie 18671,,,,,,
,73983,12,zusammengesetzt aus 19953 und 19952 oder 2430 und 2429,,,,,,
,74695,15,wie 60483,,,,,,
,74698,2,wie 2376,,,,,,
,75535,3,,,,,,,
,75902,1,,,,1,,,
,76768,17,wie 14395 und 2339,,,,,,
,85080,5,ähnlich zu 3063,,,,,,
,85532,1,wie 75c16,,,,,,
,85861,22,,,,19,,,
,85943,4,,,,,,,
,85970,7,wie 13731,,,,,,
,85984,72,,,,,,,
,86208,2,,,,,,,
,87079,48,,,,,,,
,87081,3,,,,,,,
,87082,3,wie 44874,,,,,,
,87083,9,,,,,,1,
,87087,168,,,9,,,11,
,87544,12,,,,,,,
,87552,48,,,,,,,
,87580,39,wie 23893,,,,,,
,87609,2,wie 72132,,,,,1,
,87618,12,,,,,,,
,87620,4,,,,,,,
,87994,56,wie 17715,,,,,,
,88072,32,wie 4623,,2,,,,
,88292,4,,,,,,,
,88293,8,,,,,,,
,88646,39,wie 17836,,,,,,
,88930,12,,,,8,,,
,90202,1,,,,,,,
,90228,2,wie 3846,,,,,,
,90498,3,,,,,,,
,91501,1,wie 31959,,,,,,
,91988,6,,,,,,,
,92099,3,,,,,,,
,92280,22,wie 44861,,,,,,
,92411,59,wie 21712 und 44728,,3,,,,
,92538,12,wie 3006,,,,,,
,92582,18,,,,,,,
,92593,34,wie 41740,,,,,,
,92690,4,,,,1,2,,
,92946,37,wie 15672,,,,,,
,92947,35,,,,,,,
,92950,12,wie 3455,,,,,,
,93273,12,,,,,,,
,93274,4,,,,,,,
,93606,16,,,,,,,
,95120,1,wie 44822,,,,,,
,98138,1266,,,1212,,,7,
,98263,1,,,,,,,
,98283,10,,,,,10,,
,98286,4,wie 43045,,,,,,
,98397,3,,,,,,,
,98560,39,wie 3684,,,,,,
,98585,1,,,,,,,
,99206,31,,,,,,12,
,99207,17,,,,,,,
,99563,70,,,,,,,
,99780,63,,,,,,,
,99781,16,,,,11,,,
,99784,3,wie 42445,,,,,,
