Part,Color,Quantity,Is Spare
15573,15,7,False
88072,15,6,False
63868,15,4,False
99206,15,22,False
87609,15,1,False
18674,15,6,False
61409,15,15,False
85984,15,2,False
3039pr0009,15,4,False
29120,15,32,False
29119,15,32,False
93606pr0008,15,1,False
93606pr0009,15,1,False
4871,15,1,False
22889,15,2,False
4599b,15,58,False
59443,15,7,False
65249,15,4,False
73230,15,2,False
6541,15,25,False
3700,15,155,False
32000,15,2,False
65487,15,1,False
32124,15,2,False
3070b,15,137,False
3069b,15,76,False
63864,15,24,False
2431,15,14,False
6636,15,30,False
4162,15,18,False
14719,15,1,False
15535,15,8,False
3068b,15,7,False
26603,15,20,False
87079,15,2,False
98138,15,3,False
25269,15,10,False
20482,15,32,False
15712,15,44,False
35459,15,1,False
30505,15,2,False
41770,15,1,False
41769,15,1,False
90195,15,17,False
60607,15,4,False
61345,15,34,False
60598,15,2,False
3010,14,2,False
3002,14,2,False
42023,14,4,False
6232,14,9,False
60479,14,25,False
3023,14,71,False
3623,14,11,False
3666,14,63,False
3460,14,10,False
2420,14,4,False
3020,14,4,False
3795,14,10,False
85861,14,8,False
87580,14,1,False
3176,14,2,False
3039,14,4,False
3665,14,10,False
4519,14,8,False
6541,14,2,False
32000,14,2,False
2851,14,8,False
4162,14,6,False
